degree_name,field,program_description,duration,admission_requirements,institution_name,university,specialty,specialty_code,location,contact_info,bac_type,formula,formula_explanation,historical_scores_2022,historical_scores_2023,historical_scores_2024,minimum_bac_average,additional_requirements,notes,data_source
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,,,رياضيات,FG+A,,,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,,,علوم تجريبية,FG+A,,101.6734,100.1072,109.714,100.1072,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,,,إقتصاد وتصرف,FG+A,,86.4719,87.0865,85.872,85.872,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,,,علوم الإعلامية,FG+A,,,,80.677,80.677,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,,,آداب,FG+Ang,,128.705,128.3091,130.895,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,,,رياضيات,FG+Ang,,137.905,136.2913,150.785,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,,,علوم تجريبية,FG+Ang,,140.8655,159.3872,148.409,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,,,إقتصاد وتصرف,FG+Ang,,127.8025,115.1072,119.321,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,,,العلوم التقنية,FG+Ang,,128.425,120.785,124.24,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,,,علوم الإعلامية,FG+Ang,,125.0054,138.0996,120.992,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,,,رياضة,FG+Ang,,103.5439,177.8501,166.904,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,,,آداب,FG+Ang,,106.53,107.905,113.516,,,,
